% 1. Title: Rocks data

@RELATION rocks

@ATTRIBUTE reflective-red	REAL
@ATTRIBUTE reflective-blue 	REAL
@ATTRIBUTE hard 	REAL
@ATTRIBUTE porous	REAL

@DATA
2.8442150228318814,2.9633959275641684,7.113128326250981,5.246739334297501
2.168376250747844,2.6097418052788477,5.614799420834809,5.571129313962455
3.2855752909631493,2.6431807842881354,6.43365974816654,5.409300280694002
1.738607717275182,2.9462847521324367,6.505525863531609,5.393948847296366
2.9217433083157776,2.685628783725995,8.540025494429276,5.918761266509804
4.126911944245861,2.3602269433890175,6.133862914280421,5.135368387597257
1.6675186774348896,3.0256032121356795,6.675939196933479,5.564541949024766
3.3853637987438847,2.9122405697220675,7.405126675594964,4.840079469384878
2.0574973535759806,2.854026196779168,6.877585240240343,5.547728765791511
2.619959473982268,2.268205407845548,7.382234018209926,4.987688693372939
3.14938988948921,2.7819652313086154,7.803781557858779,4.803646765306865
4.381606263080234,3.1461538061406564,6.91517635555924,6.104467529418226
3.3684426078654166,2.479719418781799,7.046124670985108,5.475153107245891
1.5055368282632227,1.9290478159436641,7.9804696071647925,5.068538055329719
3.977287749466698,2.4947914967695923,6.2553881587152524,4.748477878716956
3.533596134813675,3.15119429113067,6.437934259543701,5.169326058029939
3.925144112005227,2.9792390744619675,6.971010285537173,5.707742935534039
2.941936161078212,2.3452305357997116,8.714524680246248,5.158000915535914
2.8907176343065597,3.1944527210746267,7.256394231144719,5.304838601366024
3.6685102205175095,2.264863160085684,6.95143737464946,5.075233173711394
2.9045030673409533,3.0889044946296016,7.320940537213527,5.419468889391217
3.68144138119681,2.209847448895483,8.938799345290759,5.167035004397511
4.045742874157869,3.197398571393542,8.21209215940299,5.385438051259508
3.96822354802031,2.4640153357987344,6.777645290053042,5.208718497560737
2.854833068569919,2.710453154970857,6.161858571153787,5.280258433890299
4.372459998075703,2.267975795133985,6.936876058203092,5.902276394695705
3.3097651793660043,3.2372272253560337,5.925165966298947,4.949512104432717
3.9524082684056383,2.685026479650383,7.178798995666797,6.0323796871420114
2.637972420182895,3.1268008054880596,6.5558006255718135,4.66386399805271
3.4892822852181338,2.8294201759595183,7.596617100383962,5.789165900001842
4.09073837640394,2.1506494056837755,5.653524990305343,6.016831728983072
3.847568871856691,2.8714543254403497,5.758913067784327,5.174974595439043
3.425706654052519,3.085348646504366,7.11324672573408,5.6720897411365865
3.940348477250751,2.489196995024433,6.659279458300135,5.423357999371254
3.0834819132148925,2.988303678782361,6.201990179530807,5.326524343808442
4.6027437643250195,2.5648883331185974,7.257958781292794,5.24185869437656
2.4443269018311593,2.7566246541995367,5.923798012330416,5.241381683730422
2.944266722922577,2.95804542814411,8.233655802335408,5.096925522761927
3.332473918455196,3.0783234011915344,7.076635437318227,5.915299378052928
1.1991809764545398,2.235252336822976,7.908962155231673,5.3349130817052
4.232053613486826,2.533425821199091,7.5665069756783705,4.831927863636743
2.519912220565803,2.6597060261823366,7.314648246193567,5.516904720708197
2.574629972148448,2.4205737072829585,7.0075890546152335,5.526117231755524
0.8086853456551064,3.2329949423780295,7.797551182341444,5.231662194535972
1.5452118100879249,2.4247877281881265,7.797796708767886,5.0454368294714325
2.3071363445393356,2.7799647181893086,7.51296318390998,5.5691056450396585
2.615899577651664,1.0069967749023931,7.792285020347841,1.54530562606045
3.1721907727466117,0.8216149584088723,6.656708151910673,1.7835254657951827
2.7772056585346845,1.1402702650175274,8.325416289467134,1.080846840908801
2.9157091835844606,0.20665232676454848,8.3185257820766,2.072401582186053
2.8409923282083027,1.076570367071652,8.817144483520499,2.0787123895024235
2.31928463490366,1.2213059973659202,7.616651839051547,1.562262586759436
4.079831853608291,0.7974903487812418,6.573162590729859,2.181254384230203
3.0260298165720556,1.5132425397356388,6.809752132966766,2.243222045408254
3.9185397351351483,0.4825364609747623,7.881519583020967,1.76828028204911
3.8859939588794323,0.21675071609942687,7.662420330382393,2.0039205125861224
3.2725189062156432,1.4831625511539115,7.803869286922546,1.6508290655031517
3.998127724272498,0.9814251564783756,7.17097524203371,2.0270265650705745
3.807532181719176,0.45391761725513435,9.703278321594077,1.9052302616632575
2.9619832391241094,1.0788182728734754,8.345774522623547,1.80060905008899
2.9744889290408225,0.6773565426033475,6.102415371208972,2.0365155110013995
2.043955830871143,0.800899759858342,7.311468228966282,1.4902608461708418
2.650900548294274,0.39730594304858613,8.273767885018387,2.406253958555153
2.5707833891447436,1.133329313763121,7.242922847782505,1.9353858802314923
2.247305777742376,1.1334692311920929,8.194043647009146,1.9532719991248328
3.20066188176203,0.2362965244307188,7.351286790607858,2.2362589870929255
2.4763644895320827,1.0697942992132192,9.26119511534307,2.310196283139745
2.8505582677866252,0.5561435617672053,8.697142264690243,1.8890898060212673
